PRICEK,DSALE,BEDROOM,SQFTK,LN_LOTSIZE,CENTRALAIR,BRICK,GARAGE,FIREPLACE,BASE_FIN,MASONRY,PUBOPEN,MICHLAKE,LAKE_RIVER,METRA_DIST,RAIL_DIST
570.0000001,0,4,1.948,8.740336743,1,1,2,1,1,1,1,0,0,0.41914,0.04877
340.0000012,0,2,0.949,8.047189562,1,1,2,0,1,1,0,0,0,0.33536,0.11422
577.4999992,0,5,2.298,8.517193191,1,1,2,0,1,1,0,0,0,0.36666,0.30314
515.0000002,0,5,2.239,8.888756748,0,1,2,0,0,1,1,0,0,0.36515,0.23978
435,0,3,1.297,8.383661799,1,1,2,0,0,1,1,0,0,0.38066,0.25509
368.9999989,0,2,1.064,8.047189562,1,1,3,0,0,1,0,0,0,0.41635,0.35295
430.000001,0,4,2.076,8.444622499,0,0,2,1,0,0,0,0,0,0.32751,0.24182
507.5000001,0,3,1.855,8.334711622,0,0,0,0,0,1,0,0,0,0.55877,0.32674
559.9999985,0,4,1.343,8.334711622,1,1,2,1,0,1,0,0,0,0.56561,0.32123
340.0000012,0,3,0.932,8.517193191,1,1,2,1,0,1,0,0,0,0.70741,0.38502
425.0000009,0,4,1.84,8.160518247,1,0,2,1,0,0,0,0,0,0.34539,0.13572
319.9999985,0,3,0.945,8.178077464,1,1,2,0,0,1,0,0,0,0.613,0.21104
540.0000008,0,3,2.141,8.195609567,1,1,2,0,0,1,0,0,0,0.61983,0.2056
474.9999986,0,5,1.952,8.334711622,1,1,2,0,1,1,0,0,0,0.59191,0.24955
379.9999994,0,4,4.216,8.740336743,1,1,2,2,1,1,0,0,0,0.60458,0.2114
528.9999996,0,4,2.043,8.324821299,1,1,2,0,0,1,0,0,0,0.7199,0.21657
355.0000005,0,3,1.35,8.509564164,1,0,0,0,0,0,0,0,0,0.56064,0.1609
319.9999985,0,3,1.2,8.078688229,1,1,2,0,1,1,1,0,0,0.09204,0.03246
519.9999997,0,3,1.613,8.898365607,0,1,0,0,1,1,0,0,0,0.59901,0.11498
384.9999987,0,3,1.038,7.919356191,1,1,2,0,1,1,0,0,0,0.62319,0.12491
364.9999991,0,2,1.15,8.324821299,1,1,2,0,0,1,1,0,0,0.39067,0.09344
384.9999987,0,3,1.15,8.283999304,1,1,1,0,0,1,1,0,0,0.48938,0.19294
930.0000045,0,6,2.842,8.559486104,1,0,2,3,0,0,0,0,0,1.27328,0.07137
245.0000001,0,4,1.296,8.237479289,1,1,2,0,1,1,0,0,0,3.7236,0.22529
262.9999997,0,3,1.558,8.625868208,0,1,2,0,0,0,1,0,0,1.79732,0.18983
324.9999996,0,3,1.12,8.270525095,1,1,2,0,1,1,1,0,1,2.29577,0.27611
423.9999982,0,3,1.763,8.221478947,1,1,2,0,1,1,0,0,1,2.14306,0.27811
295.0000014,0,3,1.087,8.221478947,1,1,2,0,1,1,0,0,1,2.10162,0.27254
400.0000016,0,3,1.087,8.221478947,1,1,2,0,1,1,0,0,1,2.10162,0.27254
340.0000012,1,3,1.317,8.50916102,1,1,0,0,1,1,0,0,1,2.21059,0.2498
432.500002,0,5,1.602,8.221478947,1,1,3,0,1,1,0,0,0,1.95254,0.2778
289.0000008,1,3,1.029,8.262300942,1,1,2,0,0,1,0,0,0,2.03888,0.2477
362.9999988,0,3,1.261,8.262300942,1,1,2,0,0,1,0,0,0,2.0287,0.24824
383.0000007,0,3,1.275,8.221478947,1,1,2,0,0,1,0,0,1,2.11306,0.31348
377.5000009,0,3,1.764,8.221478947,1,1,0,0,0,1,0,0,0,2.03002,0.31474
400.0000016,0,3,2.177,8.30028019,1,1,2,0,0,1,0,0,0,2.03694,0.30807
359.9999998,0,3,1.457,8.221478947,1,1,0,0,1,1,0,0,0,1.98449,0.31162
159.9999993,0,3,1.45,8.221478947,1,1,2,0,0,1,0,0,0,1.9637,0.31218
364.0000012,0,3,1.218,8.221478947,1,1,1,0,1,1,0,0,0,1.89701,0.30973
369.9999983,0,4,1.296,8.221478947,1,1,0,0,1,1,0,0,0,1.86091,0.30416
535.0000022,0,3,1.701,8.732304571,1,1,1,1,1,1,0,0,0,1.84297,0.33842
400.0000016,1,3,1.657,8.626944055,1,1,6,1,1,1,0,0,0,1.96639,0.40386
325.9999999,0,3,1.38,8.221478947,1,1,0,0,1,1,0,0,0,1.87864,0.4002
534.0000011,0,5,2.623,8.732304571,0,1,2,1,1,1,0,0,0,1.95701,0.37183
417.9999994,0,3,1.877,8.626944055,1,1,2,0,0,1,0,0,0,1.89392,0.39939
340.0000012,0,3,1.028,8.221478947,1,1,2,0,0,1,0,0,1,2.01628,0.46254
